gene_id,s1,s10,s11,s12,s2,s3,s4,s5,s6,s7,s8,s9
Cers6,1833,2077,1812,1189,1349,1306,1377,2209,2036,1798,4167,1947
Gm14023,13,13,7,11,5,3,4,9,0,9,10,19
Bpifb3,0,0,0,0,0,0,0,0,0,0,0,0
Bpifb2,0,0,0,0,0,0,0,0,0,0,0,0
Bpifb1,0,12,28,0,5,144,15,49,84,3,16,29
Olfr1290,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1297,0,0,0,0,0,0,0,0,0,0,0,0
Bpifb6,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1295,0,0,0,0,0,0,0,0,0,0,0,0
Bpifb4,2,0,0,0,0,0,0,0,0,0,0,0
Olfr1299,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1298,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1051,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1053,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1052,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1055,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1054,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1057,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1056,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1058,0,0,0,0,0,0,0,0,0,0,0,0
Mir2861,4,5,5,10,3,3,13,4,4,5,4,13
R3hdml,0,0,0,0,0,0,0,0,0,0,0,0
B2m,22952,42027,36653,24072,22165,17887,22387,91467,100580,74938,155866,35299
Gm14440,1057,1482,948,765,908,812,714,717,702,641,1380,1036
Them7,0,0,0,0,0,0,0,0,0,0,0,0
Gm14151,0,0,0,0,0,0,0,0,0,0,0,0
Samd10,11,17,21,19,21,19,11,10,11,15,21,28
Ubac1,610,640,560,483,583,513,530,569,767,454,994,721
Cstf1,641,678,589,445,465,407,501,590,711,482,1007,629
Cstf3,407,530,400,328,387,334,412,544,640,393,836,419
Gad1os,0,0,0,0,0,0,0,0,0,0,4,0
Ocstamp,0,0,0,0,0,0,0,0,0,0,0,0
Mettl8,128,206,160,138,141,107,141,175,214,124,251,203
Cebpb,11873,9998,7142,8831,8334,5619,10923,7699,7631,4601,14406,10840
Acvr1,1797,1467,1702,1257,1765,1417,1883,1404,1371,1198,2372,1741
Vps18,973,986,828,713,817,660,742,792,946,560,1321,925
Fubp3,1295,1421,1196,971,1008,1002,1133,1311,1458,1126,2321,1207
Mettl5,138,198,128,113,157,135,114,164,136,97,219,153
Slc25a12,1111,1439,1194,926,946,927,1062,1017,1165,778,1520,1380
Rtel1,853,985,784,745,747,571,650,794,999,701,1445,799
Nmt2,1134,1132,1046,973,1090,1042,1163,941,1065,839,1759,1153
Aven,270,305,245,190,232,223,242,324,344,190,461,318
Bpifb5,0,0,0,0,0,0,0,0,0,2,0,0
Olfr1294,0,0,0,0,0,0,0,0,0,0,0,0
March7,1087,1349,1100,868,762,934,941,1026,1054,829,1595,1268
Sstr4,0,3,4,5,2,1,2,2,2,0,0,4
Rbck1,2513,2712,2366,2025,2089,1885,2012,2237,2487,1561,3590,2744
Rabgap1,1789,2078,1977,1346,1523,1455,1695,1700,1868,1417,2848,2037
Npdc1,2667,3477,3156,2838,2437,2190,2460,2217,2580,1531,3142,3458
Spo11,0,0,0,0,0,0,0,0,0,0,0,0
Zswim1,262,303,272,197,234,191,211,236,248,154,368,271
Zswim2,0,0,0,0,0,0,0,0,0,0,0,0
Zswim3,183,173,179,145,130,99,128,142,157,83,215,173
Hoxd3os1,0,0,0,0,0,0,0,0,0,0,0,0
Ppp1r16b,64,58,57,41,25,46,14,65,32,22,107,101
Ndrg3,1520,1874,1749,1271,1348,1222,1379,1610,1931,1048,2392,1902
Ttc30a2,181,202,196,128,142,128,147,138,160,92,153,193
Ttc30a1,189,223,216,163,165,145,173,201,234,122,229,243
Madd,396,386,273,319,315,290,305,390,389,257,692,355
H13,4150,4295,4106,3197,3553,2842,3620,4431,4641,3095,7757,4460
Rpap1,931,1012,784,693,800,696,661,917,1095,698,1552,876
Klhl41,0,8,2,0,3,0,2,4,10,0,5,4
4933406J08Rik,0,0,0,0,0,0,0,0,0,0,0,0
Lama5,2255,2379,1839,1750,1231,1393,1547,3725,5032,1921,7183,1869
Tshz2,2839,3762,3345,2692,2727,2477,2983,2320,2539,2097,4344,3749
Mir133a-2,0,0,0,0,0,0,0,0,0,0,0,0
Foxs1,137,157,202,140,155,146,177,195,256,71,260,175
Sall4,0,0,0,0,0,0,0,0,0,0,0,0
Arhgap11a,50,78,47,37,68,51,58,210,380,257,340,48
Stx16,817,1726,1276,1303,1494,1119,1389,1355,1424,1072,2318,1529
4930443O20Rik,0,0,5,3,0,0,3,0,0,4,10,0
Slc17a9,31,58,23,32,43,19,29,81,95,81,166,24
Srms,0,5,0,0,0,0,0,0,0,4,3,0
P2rx3,2,0,3,6,8,3,4,6,8,3,14,0
Olfr1197,0,0,0,0,0,0,0,0,0,0,0,0
Spint3,0,0,0,0,0,0,0,0,0,0,0,0
Spint1,0,4,6,0,0,3,8,2,6,0,10,5
Spint4,0,0,0,0,0,0,0,0,0,0,0,0
8030442B05Rik,0,5,3,0,0,0,0,3,0,0,0,0
Psmd5,917,1134,893,704,777,733,868,1065,1222,737,1545,987
Ralgps1,117,169,136,129,154,103,144,84,103,46,160,173
Mir147,0,1,1,2,0,1,1,1,1,1,1,1
Agpat2,653,692,610,533,535,509,589,685,723,539,1357,714
Stam,1099,1281,1123,922,1062,1003,1022,1074,1065,723,1562,1215
Lcn5,0,0,0,0,0,0,0,0,0,0,0,0
Lcn4,0,0,0,0,0,0,0,0,0,0,0,0
Lcn6,0,0,0,0,0,0,0,0,0,0,0,0
Lcn3,0,0,0,0,0,0,0,0,0,0,0,0
Itpripl1,151,172,189,135,159,120,180,164,245,129,298,147
Prpf18,1223,1472,1201,950,1181,1036,1063,1058,1135,818,1712,1418
Lcn9,0,0,0,0,0,0,0,0,0,0,0,0
Lcn8,0,0,0,0,0,0,0,0,0,0,0,0
Tmem203,307,362,293,209,233,223,216,250,274,218,373,299
Gm16796,0,0,0,0,0,0,0,0,0,0,0,0
Mir3089,0,0,0,1,0,0,0,0,0,0,1,1
Nron,0,0,0,0,0,0,0,0,0,0,0,0
Zfp442,145,169,111,84,92,73,111,123,157,90,157,127
BC039771,0,41,33,20,2,23,42,33,3,0,55,0
Slc27a4,1451,1351,1460,1134,1403,1155,1400,1459,1655,880,2354,1532
Slc27a2,0,0,0,0,0,0,0,0,0,0,0,0
Uck1,2080,2255,1803,1626,1657,1333,1581,1347,1367,795,1884,2188
Abo,0,0,0,0,0,0,0,0,0,0,0,0
Fign,282,335,249,219,220,198,251,279,325,231,529,322
Dfnb59,0,0,0,0,0,0,0,0,0,0,2,0
AV039307,6,7,10,0,0,0,0,13,4,6,16,10
Fam78a,2,2,0,0,2,6,4,7,7,0,11,4
A430105I19Rik,841,1001,786,802,635,578,609,552,619,554,1213,949
Pla2g4e,0,0,0,0,0,0,0,0,0,0,0,0
8430427H17Rik,776,754,603,517,652,514,593,656,533,357,878,759
Gpsm1,3010,3200,2654,2725,2812,2488,2707,1984,1986,1686,3359,3074
Kbtbd4,399,438,428,300,374,305,316,435,532,288,614,446
Ermn,0,0,0,0,0,0,0,0,0,0,0,0
Slc24a5,3,4,3,0,0,2,2,0,0,2,0,3
Slc24a3,2206,1900,1535,1015,1531,1347,1469,1144,1009,822,1798,1934
Defb36,0,0,0,0,0,0,0,0,0,0,0,0
Nsfl1c,1594,1998,1706,1442,1571,1236,1594,1854,2141,1338,3250,1823
Usp8,2373,2705,2309,1728,2040,1795,2152,2323,2579,1762,3702,2537
Rif1,1018,1234,956,814,900,960,1081,1041,1107,838,1631,1079
Stau1,3272,3259,3123,2438,2561,2254,2792,2946,2308,2394,5390,3157
Mir130a,0,0,0,0,0,0,0,0,0,0,0,0
Ano3,3,16,9,7,9,10,9,4,10,5,9,29
Olfr1110,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1111,0,0,0,0,0,0,0,0,0,0,0,0
Card9,4,6,0,4,0,0,4,2,5,0,9,0
Olfr1113,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1115,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1118,0,0,0,0,0,0,0,0,0,0,0,0
4930426L09Rik,2,18,7,7,2,2,4,5,6,15,12,1
Uqcc1,734,891,746,573,596,587,693,668,779,519,1027,932
Znf512b,2196,2320,1872,1973,1962,1516,1960,1670,1898,1450,3350,2191
Acvr1c,0,0,0,2,0,0,0,0,0,0,0,0
Stom,655,949,812,591,553,606,644,1101,1580,777,1604,823
Hat1,334,395,321,216,294,275,359,573,895,498,851,373
Rpl35,4061,5640,5333,4519,4396,4221,4780,6525,7912,5139,10449,5410
Ppip5k1,1235,1409,1245,986,1114,937,1043,818,726,550,1444,1382
Vsx1,0,0,0,0,0,0,0,0,0,0,0,0
Slco4a1,0,5,0,0,0,0,0,130,313,92,131,3
Bcas1,7,6,5,12,4,4,4,5,3,6,3,8
A730036I17Rik,0,0,0,0,0,0,0,0,0,0,0,0
Oxt,0,3,0,0,0,0,5,0,0,0,0,0
Olfr1099,0,0,0,0,0,0,0,0,0,0,0,0
Ino80,1184,1423,1193,1066,1130,948,1176,1283,1442,1082,2620,1300
Sfmbt2,8,12,11,5,21,11,10,15,18,23,24,4
BB557941,0,0,0,0,0,0,0,0,0,0,0,0
Blvra,263,407,355,277,265,251,278,357,407,269,564,373
Setx,1328,1774,1413,1129,1360,1203,1458,1475,1804,1239,2519,1588
Olfr1024,0,0,0,0,0,0,0,0,0,0,0,0
Snrnp200,4920,5807,4849,3734,3895,3880,4319,4594,5233,3741,8004,5763
Olfr1026,0,0,0,0,0,0,0,0,0,0,0,0
Zdhhc5,2824,3115,3015,2135,2590,2372,2761,3475,4097,2665,5840,3204
Olfr1022,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1023,0,0,0,0,0,0,0,0,0,0,0,0
4930442J19Rik,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1028,0,0,0,0,0,0,0,0,0,0,0,0
Bhlhe23,0,0,0,0,0,0,0,0,0,0,0,0
Gm14308,0,0,0,0,0,0,0,0,0,0,1,0
Cst8,0,0,0,0,0,0,0,0,0,0,0,0
Cst9,0,0,0,0,0,0,0,0,0,0,0,0
Uap1l1,694,1068,972,787,747,670,814,793,958,626,1229,978
Vps16,1348,1609,1430,1290,1146,956,1173,1289,1499,1056,2595,1517
AI182371,0,17,3,5,14,0,7,0,11,13,16,13
Cst3,45846,53673,48623,36173,42140,34716,40874,31220,29828,23803,44116,46712
Gm14305,248,623,510,207,355,442,528,574,501,342,667,662
Cst7,0,0,0,0,0,0,0,0,0,0,0,0
Gm14306,6,0,0,0,0,0,0,0,0,0,0,0
Wdr5,1113,1245,1099,887,1067,846,1098,1193,1475,916,2100,1223
Gm14164,0,0,0,0,0,0,0,0,0,0,0,0
Gm14169,0,2,0,0,0,0,0,0,0,0,2,0
Ptf1a,0,0,0,0,0,0,0,0,0,0,0,0
Gm14496,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1221,0,0,0,0,0,0,0,0,0,0,0,0
Naa20,717,993,748,604,801,659,712,861,1050,705,1337,842
Gm996,24,29,35,22,32,16,20,22,24,11,30,30
Pdss1,78,89,63,51,65,59,84,75,95,114,195,88
