transcript_id,s1,s10,s11,s12,s2,s3,s4,s5,s6,s7,s8,s9
NM_026615,724,902,804,554,711,558,577,860,919,584,1309,825
NM_026613,267,354,296,229,225,230,236,331,515,279,457,309
NM_016866,344,511,430,342,382,341,408,405,514,406,657,448
NM_001033123,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291201,52,0,0,0,0,37,205,52,0,29,38,39
NM_001080820,1137,1008,722,371,636,418,792,633,756,341,814,857
NM_001291203,57,183,154,71,102,72,325,321,219,103,347,324
NM_001291202,52,202,131,91,134,79,366,79,114,86,150,125
NM_001291205,3,2,1,1,2,0,1,0,1,1,5,2
NM_001291204,55,39,52,41,75,0,308,35,40,43,68,56
NM_001291207,66,58,53,0,0,0,0,53,58,0,0,293
NM_024185,591,700,613,485,538,463,559,699,721,464,1152,570
NM_001291209,0,0,0,0,29,0,0,32,0,22,101,0
NM_021426,302,306,209,178,360,317,342,160,242,166,338,298
NM_025516,4279,5172,4794,3594,4190,3577,4209,4396,4924,3125,6444,5119
NM_029723,0,0,0,0,0,0,0,0,0,0,0,0
NM_001289709,73,135,12,88,61,113,102,81,62,10,68,11
NM_016902,217,315,204,249,129,142,255,275,120,185,407,261
NR_040635,0,0,0,0,0,0,0,0,0,0,0,0
NM_024181,4897,6369,5448,3699,4526,4091,4370,4896,5871,3817,6970,5814
NM_026271,1266,1289,1370,1141,1170,1330,1145,1313,1172,1026,2028,1691
NR_035432,1,1,1,1,1,1,1,1,1,1,1,1
NR_035480,0,0,0,0,0,1,1,0,0,1,0,0
NR_106083,0,0,0,0,0,0,0,0,0,0,1,0
NR_106081,0,0,0,0,0,0,0,0,0,0,0,0
NR_106080,0,0,0,0,0,0,0,0,0,0,0,0
NM_010923,59,121,106,114,72,67,48,317,465,322,453,54
NM_198617,306,455,398,267,310,256,309,271,295,211,380,431
NM_001289678,351,386,516,414,566,385,300,331,428,7,296,371
NR_036629,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291200,2086,2465,2259,1674,1814,1638,374,1553,1794,1105,2402,2275
NM_001289677,0,0,0,0,0,0,0,0,0,0,0,0
NM_001111292,256,201,185,143,211,129,258,921,1083,217,312,110
NM_001111291,213,163,147,113,149,111,206,731,872,153,191,73
NM_028521,353,499,421,311,372,317,346,392,409,261,565,432
NM_001276489,13346,13754,12235,8335,10902,9138,12085,12048,11755,11979,21961,12561
NM_025922,591,805,594,497,588,461,563,850,1063,594,1318,725
NM_177610,0,0,0,0,0,0,0,0,0,0,0,0
NM_001164791,3412,3604,2978,2341,3014,2274,2661,2140,2280,1627,3405,3296
NR_102348,0,0,0,0,0,0,0,0,0,0,0,0
NR_102349,0,0,0,0,0,0,0,0,0,0,0,0
NM_153781,2234,2485,2381,2070,2389,2117,2449,1997,2464,1450,2908,2727
NM_001083809,61,209,190,183,40,71,119,46,78,171,112,69
NM_001291206,132,8,11,171,13,219,124,28,255,2,333,8
NM_008980,0,0,0,0,0,0,0,0,0,0,3,0
NM_020515,0,0,0,0,0,0,0,0,0,0,0,0
NM_172860,990,930,873,947,851,770,963,720,615,634,1296,986
NR_105752,0,0,0,0,1,0,0,0,0,0,0,0
NR_105753,0,0,0,0,0,0,0,0,0,0,0,0
NM_021022,0,0,0,0,0,0,0,5,0,0,8,0
NR_105751,0,0,0,0,0,0,0,0,0,0,0,0
NR_105757,0,0,0,0,0,0,0,0,0,0,0,0
NR_105754,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291208,0,0,0,0,0,0,0,0,0,0,0,0
NM_020283,109,257,170,124,134,126,122,195,241,134,207,225
NR_105758,2,1,1,0,1,1,0,0,0,0,0,0
NR_106155,0,0,0,0,0,0,0,0,0,0,0,0
NM_030055,0,0,0,0,0,0,0,0,0,0,0,0
NR_106156,0,0,0,0,0,0,0,0,0,0,0,0
NM_008019,5377,6185,5117,3767,4967,3903,5082,5797,6925,4350,8663,5745
NM_001289453,0,0,0,0,0,0,0,0,0,0,0,0
NM_001289455,0,0,0,0,0,0,0,0,0,0,0,0
NM_001289454,0,0,0,0,0,0,0,0,0,0,0,0
NM_001289456,0,0,0,0,0,0,0,0,0,0,0,0
NM_138655,0,0,0,0,0,0,0,0,0,0,0,0
NM_028984,0,189,258,0,302,0,0,309,0,196,188,271
NM_028986,830,1066,868,681,776,692,716,759,778,597,1207,973
NM_138651,6015,2585,5766,4390,4830,4923,5304,4349,3923,3244,7689,7211
NM_001284376,0,0,0,0,0,0,0,0,0,0,0,0
NM_007699,0,9,9,10,3,5,8,7,4,2,8,7
NM_001284374,0,0,0,0,0,0,0,0,0,0,0,0
NM_001284373,401,327,455,260,177,157,0,267,266,318,697,245
NM_001284372,317,197,0,81,173,152,0,210,227,261,485,135
NM_001284371,60,55,82,75,38,53,119,57,93,57,113,110
NM_001284370,8,9,0,31,11,39,55,56,63,11,71,49
NM_001081171,2255,2379,1839,1750,1231,1393,1547,3725,5032,1921,7183,1869
NM_145369,0,0,0,0,0,0,0,0,0,0,0,0
NM_001164663,12435,10976,9968,8337,9081,8653,10675,7220,6738,5205,12420,12423
NM_001252573,0,1047,0,0,0,647,0,1,0,23,1165,0
NM_172267,926,1460,750,1077,1128,843,699,599,524,532,2052,1327
NR_029541,0,0,0,0,0,0,0,1,0,0,1,0
NM_010582,211,266,305,245,299,279,343,117,131,97,136,322
NR_029544,0,0,0,0,0,0,0,0,0,0,0,0
NM_010852,0,0,0,0,0,256,246,367,0,0,0,0
NM_001163686,0,0,5,7,0,2,7,0,0,0,0,0
NM_019789,0,0,0,0,0,0,0,0,0,0,0,0
NM_172269,973,986,828,713,817,660,742,792,946,560,1321,925
NM_172268,1584,1651,1352,1184,1373,1146,1353,1451,1661,1132,2617,1811
NM_207206,81,94,114,82,89,47,65,173,246,147,229,85
NM_207207,680,719,666,568,577,497,566,647,696,440,975,727
NM_207204,637,869,699,643,634,512,606,679,778,471,1255,789
NM_146865,0,0,0,0,0,0,0,0,0,0,0,0
NM_146866,0,0,0,0,0,0,0,0,0,0,0,0
NM_198169,687,903,701,626,568,563,702,659,686,525,1133,778
NM_001100455,0,0,0,0,0,0,0,0,0,0,0,0
NM_001012704,0,0,0,0,2,0,0,3,0,3,0,0
NM_011427,3086,2727,2705,2082,2132,1678,2044,3487,3439,2364,6424,2885
NM_001081310,2,0,0,0,4,3,0,3,0,2,3,0
NM_146461,0,0,0,0,0,0,0,0,0,0,0,0
NM_146462,0,0,0,0,0,0,0,0,0,0,0,0
NM_146463,0,0,0,0,0,0,0,0,0,0,0,0
NR_027852,346,280,270,159,280,272,143,103,124,81,243,311
NM_011044,0,0,0,0,0,0,0,0,0,0,0,0
NM_146262,0,0,0,0,0,0,0,0,0,0,0,0
NM_146263,0,0,0,0,0,0,0,0,0,0,0,0
NM_023565,1377,1488,1188,920,1373,1127,1385,1809,2267,1298,2446,1458
NM_001081083,0,0,0,0,0,0,0,0,0,0,0,0
NM_001081084,0,13,5,4,3,17,8,20,47,6,43,12
NM_001081085,0,0,0,0,0,0,6,27,96,51,45,0
NM_001081086,1512,1826,1476,1096,1190,1091,1366,1338,1646,1096,2336,1522
NM_001081087,0,8,2,0,3,0,2,4,10,0,5,4
NM_001081088,3,25,2,7,2,6,2,7,44,2,27,5
NM_001081089,0,0,5,0,5,0,3,2,14,0,0,0
NR_110992,225,204,101,146,119,132,90,189,186,146,194,173
NM_172669,501,922,850,748,942,595,637,749,588,474,1805,1015
NM_172668,22541,21442,17968,13909,16011,14555,17548,14387,10086,12394,28560,21365
NM_011428,0,0,0,0,0,0,0,0,0,0,0,0
NM_001145644,0,0,0,0,0,0,0,0,0,0,0,0
NM_001139503,59,38,83,56,32,36,118,62,42,137,87,80
NM_172661,2949,3006,8789,1373,3265,7266,2344,2263,4631,6575,15465,10782
NM_172660,580,758,555,498,525,433,527,651,805,425,974,689
NM_172663,1326,1628,1404,1089,1172,1212,1222,1189,1127,918,1762,1508
NM_172662,226,372,286,192,192,205,192,218,284,178,335,267
NM_001139509,774,1167,0,1092,835,557,1330,529,0,1552,1153,248
NM_172664,1343,1383,1295,899,1244,1063,1272,1061,1342,996,1880,1389
NM_172667,0,0,0,0,0,0,0,0,0,166,408,0
NM_172666,1272,1327,1212,771,995,993,1148,1297,1650,1064,2000,1207
NM_146772,0,0,0,0,0,0,0,0,0,0,0,0
NM_146985,0,0,0,0,0,0,0,0,0,0,0,0
NM_028072,2426,2251,2989,3775,2854,3060,2903,2120,1629,1904,2566,3019
NM_147021,0,0,0,0,0,0,0,0,0,0,0,0
NM_001081228,181,202,196,128,142,128,147,138,160,92,153,193
NM_147029,0,0,0,0,0,0,0,0,0,0,0,0
NM_147028,0,0,0,0,0,0,0,0,0,0,0,0
NM_146579,23,32,24,30,34,13,24,21,13,6,35,33
NR_040532,0,0,0,0,0,0,0,0,0,0,0,0
NR_040533,0,0,0,0,0,0,0,0,0,0,0,0
NR_040530,0,0,0,0,0,0,0,0,0,0,0,0
NM_001037929,0,0,0,0,0,0,0,0,0,0,0,0
NM_146396,0,0,0,0,0,0,0,0,0,0,0,0
NM_146394,0,0,0,0,0,0,0,0,0,0,0,0
NM_011675,2080,2255,1803,1626,1657,1333,1581,1347,1367,795,1884,2188
NM_146582,0,0,0,0,0,0,0,0,0,0,0,0
NM_146393,0,0,0,0,0,0,0,0,0,0,0,0
NM_146391,0,0,0,0,0,0,0,0,0,0,0,0
NM_183262,508,826,662,354,624,78,524,765,879,678,871,808
NM_018785,1452,1612,1367,957,994,1105,1293,1515,1767,1308,2568,1459
NM_001290444,0,0,0,0,0,0,0,0,0,0,0,0
NM_011805,298,472,82,293,245,200,313,353,334,306,778,98
NR_035406_6,0,0,0,0,0,0,0,0,0,0,0,0
NR_035406_5,0,0,0,0,0,0,0,0,0,0,0,0
NR_035406_4,0,0,0,0,0,0,0,0,0,0,0,0
NR_035406_3,0,0,0,0,0,0,0,0,0,0,0,0
NR_035406_2,0,0,0,0,0,0,0,0,0,0,0,0
NR_035406_1,0,0,0,0,0,0,0,0,0,0,0,0
NR_110333,0,0,0,0,0,0,0,0,0,0,0,0
NR_027344,300,404,316,295,293,292,287,310,328,312,400,399
NR_110447,0,0,0,0,0,0,0,0,0,0,0,0
NR_027343,2,49,237,3,302,378,48,100,323,275,645,7
NR_110334,0,0,16,0,17,1,0,0,0,0,0,0
NM_011513,1495,1388,1127,968,1274,907,1134,1278,1657,865,2029,1404
NM_011512,8225,9203,8193,5744,7270,6218,7919,11563,13552,8285,19199,8656
NM_146649,0,0,0,0,0,0,0,0,0,0,0,0
NM_146644,0,0,0,0,0,0,0,0,0,0,0,0
NM_146645,0,0,0,0,0,0,0,0,0,0,0,0
